classified.price,classified.building.constructionYear,classified.building.condition,classified.certificates.primaryEnergyConsumptionLevel,classified.bedroom.count,classified.land.surface,classified.outdoor.garden.surface
330000.0,1977.0,5.0,489.0,3,3390.0,0.0
675000.0,1989.0,7.0,285.0,2,2732.0,0.0
399000.0,1999.0,5.0,162.0,3,437.0,150.0
340000.0,1933.0,3.0,541.0,3,585.0,0.0
980000.0,1961.0,5.0,290.0,4,4110.0,0.0
549000.0,1976.0,6.0,292.0,3,1025.0,0.0
800000.0,1885.0,3.0,450.0,5,11159.0,920.0
620000.0,1985.0,3.0,450.0,5,717.0,475.0
899000.0,2006.0,5.0,220.0,4,1409.0,0.0
320000.0,1918.0,6.0,227.0,2,95.0,0.0
478000.0,1959.0,3.0,399.0,3,713.0,305.0
448000.0,2012.0,5.0,127.0,4,209.0,80.0
219000.0,1963.0,1.0,265.0,2,212.0,121.0
349000.0,1965.0,5.0,512.0,3,912.0,0.0
278000.0,2009.0,5.0,158.0,3,145.0,40.0
215000.0,1938.0,1.0,317.0,5,390.0,390.0
259000.0,1910.0,3.0,335.0,4,251.0,0.0
299000.0,1957.0,3.0,713.0,8,2319.0,1873.0
530000.0,1999.0,7.0,117.0,2,10677.0,10000.0
179000.0,1938.0,5.0,652.0,2,1154.0,1044.0
510000.0,1976.0,7.0,209.0,3,0.0,15.0
419000.0,1930.0,5.0,730.0,3,200.0,95.0
399000.0,1935.0,5.0,343.0,4,124.0,55.0
360000.0,1920.0,7.0,347.0,3,0.0,14.0
449000.0,1996.0,5.0,437.0,4,1300.0,910.0
429000.0,2019.0,5.0,23.0,3,540.0,132.0
342000.0,1973.0,5.0,183.0,6,963.0,540.0
350000.0,1977.0,5.0,392.0,3,711.0,500.0
259000.0,1960.0,5.0,479.0,2,465.0,0.0
495000.0,1979.0,3.0,403.0,3,1308.0,0.0
439000.0,1964.0,1.0,586.0,3,0.0,0.0
599000.0,1972.0,7.0,358.0,3,892.0,0.0
199000.0,1920.0,5.0,262.0,3,235.0,155.0
180000.0,1930.0,1.0,562.0,2,1786.0,1697.0
250000.0,1938.0,5.0,262.0,5,510.0,0.0
250000.0,2008.0,5.0,195.0,4,1207.0,0.0
270000.0,1997.0,5.0,222.0,3,938.0,0.0
368800.0,2022.0,7.0,30.0,3,185.0,0.0
383100.0,2022.0,7.0,30.0,3,245.0,0.0
376300.0,2022.0,7.0,30.0,3,235.0,0.0
295000.0,1954.0,1.0,975.0,3,320.0,0.0
168000.0,1880.0,2.0,460.0,2,235.0,130.0
299000.0,1875.0,5.0,191.0,4,1508.0,763.0
229000.0,1935.0,5.0,782.0,2,970.0,500.0
174000.0,1960.0,1.0,951.0,2,394.0,314.0
199000.0,1918.0,5.0,317.0,3,240.0,160.0
245000.0,1933.0,1.0,744.0,3,550.0,0.0
225000.0,1900.0,5.0,390.0,3,86.0,0.0
275000.0,1973.0,5.0,889.0,4,1064.0,0.0
298000.0,1930.0,5.0,358.0,5,278.0,0.0
382500.0,1979.0,1.0,508.0,3,912.0,660.0
155000.0,1987.0,7.0,185.0,2,695.0,625.0
150000.0,1956.0,1.0,1081.0,3,61.0,0.0
315000.0,2020.0,7.0,97.0,3,53.0,0.0
285000.0,1937.0,3.0,376.0,3,195.0,123.0
285000.0,1958.0,5.0,208.0,3,140.0,0.0
325000.0,1957.0,3.0,502.0,3,1335.0,0.0
295000.0,1951.0,1.0,495.0,3,837.0,0.0
225000.0,1832.0,3.0,361.0,5,400.0,150.0
389000.0,1962.0,5.0,905.0,2,768.0,0.0
1050000.0,1994.0,5.0,155.0,4,3350.0,0.0
430000.0,1960.0,1.0,460.0,4,4030.0,0.0
339000.0,2000.0,7.0,314.0,4,188.0,0.0
350000.0,1885.0,5.0,527.0,4,280.0,30.0
